idx,x,y,left_width,right_width,fixed_left_width,fixed_right_width,fixed_radius
150,-1.2679941844262614,0.08426314706336971,0.9111111111111111,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
151,-1.3105715558067028,0.07738604289393677,0.888888888888889,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
152,-1.3396427546389613,0.08145178776683192,0.8666666666666667,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
153,-1.3632060248172855,0.08309409328712909,0.8444444444444444,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
154,-1.4118672272056798,0.09176941525672097,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
155,-1.4588380060676682,0.09982343944235851,0.7555555555555556,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
156,-1.5031067832302019,0.10427092666756194,0.7333333333333334,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
157,-1.5417669627175097,0.11472352336112605,0.7333333333333334,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
158,-1.559562935453988,0.12308185528016401,0.7333333333333334,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
159,-1.5955904509990897,0.11696650496452737,0.7333333333333334,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
160,-1.6429630176168708,0.12051173954888322,0.8666666666666667,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
161,-1.668435610807394,0.1225583811218422,0.8666666666666667,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
162,-1.7224628879077952,0.1179845816452803,0.9777777777777779,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
163,-1.7707672693851353,0.12393926665065162,1.0,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
164,-1.8106651819342732,0.1249541871093335,1.0222222222222221,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
165,-1.8291316125010741,0.13111775045470078,1.0222222222222221,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
166,-1.8428902228712722,0.1400795822079181,1.0222222222222221,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
